input file = ./src/day_1/input.txt
Day 1 part 1 answer, Sum is 1319616
68919: 0 : 519
60494: 0 : 519
78139: 0 : 519
28985: 0 : 519
48855: 0 : 519
52746: 0 : 519
10159: 0 : 519
48546: 0 : 519
62203: 0 : 519
58623: 0 : 519
27722: 0 : 519
94411: 0 : 519
55438: 0 : 519
67176: 0 : 519
52110: 0 : 519
20118: 0 : 519
38189: 0 : 519
33747: 0 : 519
13058: 0 : 519
81965: 0 : 519
10582: 0 : 519
40711: 0 : 519
33438: 18 : 519
64806: 0 : 519
88263: 0 : 519
61546: 0 : 519
86654: 0 : 519
75339: 0 : 519
22667: 0 : 519
85184: 0 : 519
14988: 0 : 519
66255: 0 : 519
74293: 0 : 519
59272: 0 : 519
85332: 0 : 519
38295: 0 : 519
11563: 0 : 519
87668: 0 : 519
97727: 0 : 519
69842: 0 : 519
95242: 0 : 519
94367: 0 : 519
39273: 0 : 519
54110: 0 : 519
23209: 0 : 519
66679: 0 : 519
44152: 0 : 519
95361: 0 : 519
57255: 0 : 519
60594: 0 : 519
59781: 14 : 519
39697: 0 : 519
55324: 0 : 519
72520: 10 : 519
64600: 0 : 519
98555: 2 : 519
67420: 0 : 519
60224: 0 : 519
74946: 0 : 519
95487: 0 : 519
80536: 0 : 519
36260: 0 : 519
73350: 0 : 519
99320: 0 : 519
38555: 0 : 519
11626: 0 : 519
68135: 0 : 519
15492: 0 : 519
75186: 0 : 519
72068: 0 : 519
75879: 0 : 519
87584: 0 : 519
49873: 0 : 519
24459: 0 : 519
88615: 0 : 519
45846: 0 : 519
23308: 0 : 519
76509: 0 : 519
13186: 0 : 519
25073: 0 : 519
54637: 0 : 519
65786: 17 : 519
90625: 0 : 519
45967: 0 : 519
13116: 0 : 519
18201: 0 : 519
46849: 0 : 519
16866: 0 : 519
29935: 0 : 519
28475: 0 : 519
54813: 0 : 519
20301: 0 : 519
60269: 0 : 519
23562: 0 : 519
20406: 0 : 519
98966: 0 : 519
61211: 0 : 519
13131: 0 : 519
43565: 0 : 519
97544: 0 : 519
70657: 0 : 519
15911: 0 : 519
85592: 0 : 519
47914: 0 : 519
67703: 0 : 519
53842: 0 : 519
75162: 0 : 519
30367: 0 : 519
36376: 0 : 519
51796: 0 : 519
29223: 0 : 519
